iter	Logloss
0	0.6906627454
1	0.6877931623
2	0.6850986767
3	0.6827218038
4	0.6800545152
5	0.6774088249
6	0.6748288669
7	0.6718768707
8	0.6696674143
9	0.6668932308
10	0.6644955175
11	0.6623552696
12	0.6599317106
13	0.6580298804
14	0.6558884169
15	0.6539701357
16	0.651346503
17	0.6496612129
18	0.647917771
19	0.6457134327
20	0.6438594933
21	0.6420321765
22	0.6403859703
23	0.6381889943
24	0.6362074
25	0.6347179296
26	0.6328791426
27	0.6313345696
28	0.6298080839
29	0.6281176447
30	0.6267248665
31	0.6246325118
32	0.6230321062
33	0.6212837657
34	0.6196345715
35	0.6178466532
36	0.6162807856
37	0.614424004
38	0.6130559096
39	0.6115357939
40	0.6102517879
41	0.6091470784
42	0.6071585362
43	0.6058993641
44	0.6042103205
45	0.603105103
46	0.6019460272
47	0.6005672431
48	0.5989793109
49	0.5974238832
50	0.5961762684
51	0.5951597813
52	0.5939131529
53	0.5926185379
54	0.5915060852
55	0.5903847308
56	0.5889611341
57	0.5877156867
58	0.5864381129
59	0.5853470581
60	0.5844734643
61	0.5829531639
62	0.5818187297
63	0.580579316
64	0.5795031341
65	0.5780385957
66	0.5770610744
67	0.5762047922
68	0.5753079236
69	0.5744319779
70	0.5735266145
71	0.5724160876
72	0.5717506017
73	0.5707096068
74	0.5694152927
75	0.5684921282
76	0.567781933
77	0.5665961249
78	0.565295782
79	0.563954989
80	0.5627757556
81	0.5617397437
82	0.5606898335
83	0.559675619
84	0.5589960568
85	0.5582788451
86	0.5574366448
87	0.5565505916
88	0.5557182552
89	0.5549094784
90	0.5540410647
91	0.5530936647
92	0.5519040886
93	0.5509572365
94	0.5502561971
95	0.5494775967
96	0.5487474586
97	0.5476307993
98	0.5467278218
99	0.5460261021
100	0.545515032
101	0.5448146114
102	0.5439782332
103	0.5431973492
104	0.5423032097
105	0.5416785402
106	0.5408364371
107	0.5401908787
108	0.5393942324
109	0.5389219932
110	0.5383250722
111	0.5376448794
112	0.5368396112
113	0.5362921473
114	0.535479894
115	0.534851672
116	0.534126901
117	0.5332652007
118	0.5326836777
119	0.5319292484
120	0.5312628369
121	0.5305616152
122	0.5298968423
123	0.5293193519
124	0.5287005748
125	0.5279981304
126	0.5274578661
127	0.5267091997
128	0.526002824
129	0.5254026765
130	0.5249375293
131	0.5242255335
132	0.5236004412
133	0.5228668279
134	0.5221100491
135	0.5212653631
136	0.5206022093
137	0.5199973576
138	0.5193267833
139	0.518536552
140	0.5179289773
141	0.5173149637
142	0.5165719686
143	0.5158409627
144	0.5151747386
145	0.5147328668
146	0.5141830617
147	0.513516478
148	0.5129897033
149	0.5125447688
150	0.5119061764
151	0.5114344495
152	0.5107473877
153	0.5100844839
154	0.5095010527
155	0.5088556543
156	0.5082523245
157	0.5077594183
158	0.5072490654
159	0.5067534697
160	0.5063733441
161	0.5060553797
162	0.5054375358
163	0.5051444998
164	0.5046162865
165	0.5042196093
166	0.5038871217
167	0.5034279935
168	0.5028177153
169	0.5024116618
170	0.5019623126
171	0.5016417657
172	0.5011963248
173	0.500718956
174	0.5002209517
175	0.4996056667
176	0.4990633508
177	0.4986258867
178	0.4982401478
179	0.4978692621
180	0.4975179109
181	0.4970701139
182	0.4965764771
183	0.4962374391
184	0.4957339074
185	0.4949525839
186	0.4944470546
187	0.4940658667
188	0.4936063139
189	0.4930876301
190	0.4927107753
191	0.4922367205
192	0.4918359902
193	0.4914754055
194	0.491169331
195	0.4906563513
196	0.4901372536
197	0.48969053
198	0.4893156358
199	0.4889713157
200	0.4885224969
201	0.4880338915
202	0.4875302397
203	0.4871465905
204	0.4867290783
205	0.4864074706
206	0.4861128309
207	0.4857310977
208	0.4854027175
209	0.485066426
210	0.4845621761
211	0.484151282
212	0.4837973545
213	0.4836037915
214	0.4831194959
215	0.4825161287
216	0.4821851083
217	0.4818559468
218	0.4814549428
219	0.481004605
220	0.4806066491
221	0.4802982582
222	0.4799024316
223	0.4795538201
224	0.4792417737
225	0.478887592
226	0.4786764763
227	0.4783260203
228	0.4779736329
229	0.4776239268
230	0.4774063255
231	0.4770862973
232	0.4766572921
233	0.4762672856
234	0.4759127341
235	0.4755528743
236	0.4751943332
237	0.4747401211
238	0.4744479613
239	0.4740480759
240	0.4737732426
241	0.4731127767
242	0.472644321
243	0.4722233388
244	0.4717119554
245	0.4712979631
246	0.4708562979
247	0.4705124877
248	0.4701793085
249	0.4699336595
250	0.469612717
251	0.4692741539
252	0.4689166337
253	0.4685649929
254	0.4682523627
255	0.4677916049
256	0.4674698962
257	0.467093387
258	0.4667040492
259	0.4663991329
260	0.4660080686
261	0.4656450665
262	0.4652998881
263	0.4648145767
264	0.4644869005
265	0.4638296419
266	0.4636003865
267	0.4633604056
268	0.4628294535
269	0.4623827942
270	0.4618202043
271	0.4614898401
272	0.4611428224
273	0.4607684233
274	0.4604089574
275	0.4600226811
276	0.4597385647
277	0.4592407233
278	0.4589442353
279	0.4586198087
280	0.45833358
281	0.4576560808
282	0.4574347185
283	0.4571249697
284	0.4565623977
285	0.4563284133
286	0.4559488022
287	0.4551569379
288	0.454779911
289	0.454277963
290	0.4537766482
291	0.4533981668
292	0.4531447369
293	0.452761438
294	0.4523233807
295	0.4521691048
296	0.4518760296
297	0.4515907764
298	0.4511435932
299	0.450550151
300	0.4502668112
301	0.449859374
302	0.4496587417
303	0.449342704
304	0.4490034982
305	0.4486199811
306	0.4483734562
307	0.4481324096
308	0.4478934566
309	0.4476958106
310	0.4474315657
311	0.4471449821
312	0.4468098598
313	0.4464111354
314	0.4459007481
315	0.4455395043
316	0.4450335757
317	0.4447515146
318	0.4443943419
319	0.4440759745
320	0.4437215578
321	0.4434473849
322	0.4431558967
323	0.4427562362
324	0.442468358
325	0.4423744106
326	0.4419413348
327	0.4416780277
328	0.4414743527
329	0.4411733877
330	0.4408168301
331	0.4404559076
332	0.4401735727
