iter	Passed	Remaining
0	5	5243
1	9	4497
2	13	4589
3	19	4765
4	22	4547
5	26	4396
6	34	4917
7	38	4763
8	42	4645
9	48	4755
10	52	4743
11	56	4642
12	64	4932
13	69	4913
14	73	4852
15	80	4934
16	84	4889
17	100	5457
18	124	6436
19	130	6383
20	135	6320
21	142	6324
22	183	7788
23	194	7906
24	202	7909
25	212	7948
26	217	7840
27	226	7847
28	230	7703
29	233	7544
30	237	7419
31	267	8103
32	275	8071
33	280	7976
34	286	7889
35	301	8060
36	319	8306
37	327	8301
38	339	8361
39	352	8457
40	359	8414
41	374	8552
42	388	8649
43	401	8716
44	413	8767
45	419	8694
46	428	8696
47	436	8659
48	444	8626
49	450	8567
50	463	8619
51	480	8761
52	498	8911
53	509	8927
54	517	8888
55	527	8889
56	536	8873
57	548	8914
58	560	8933
59	566	8882
60	580	8930
61	595	9002
62	607	9028
63	614	8981
64	626	9015
65	633	8964
66	644	8969
67	650	8919
68	661	8925
69	667	8869
70	679	8894
71	690	8894
72	695	8831
73	705	8826
74	711	8769
75	716	8711
76	725	8699
77	734	8680
78	741	8643
79	749	8623
80	756	8581
81	761	8527
82	770	8508
83	775	8460
84	785	8457
85	791	8416
86	804	8440
87	810	8396
88	820	8394
89	827	8362
90	836	8355
91	840	8293
92	844	8238
93	849	8190
94	853	8128
95	856	8064
96	860	8006
97	867	7980
98	873	7951
99	881	7933
100	887	7901
101	893	7866
102	902	7856
103	905	7802
104	908	7747
105	913	7707
106	919	7670
107	922	7619
108	929	7598
109	935	7566
110	939	7526
111	946	7507
112	954	7489
113	965	7501
114	969	7464
115	974	7422
116	981	7409
117	987	7380
118	991	7344
119	1000	7337
120	1009	7332
121	1016	7312
122	1019	7271
123	1024	7235
124	1033	7231
125	1037	7198
126	1046	7193
127	1053	7178
128	1065	7191
129	1072	7176
130	1084	7191
131	1092	7183
132	1097	7157
133	1103	7132
134	1113	7132
135	1117	7102
136	1127	7103
137	1133	7078
138	1139	7061
139	1145	7034
140	1149	7003
141	1159	7008
142	1165	6985
143	1177	6999
144	1186	6995
145	1193	6980
146	1199	6958
147	1208	6958
148	1214	6934
149	1224	6939
150	1230	6918
151	1240	6919
152	1246	6902
153	1256	6900
154	1262	6880
155	1270	6874
156	1276	6852
157	1285	6852
158	1292	6837
159	1303	6842
160	1308	6817
161	1315	6803
162	1322	6793
163	1327	6768
164	1337	6770
165	1341	6741
166	1350	6738
167	1356	6719
168	1361	6695
169	1368	6683
170	1373	6660
171	1382	6656
172	1388	6639
173	1392	6611
174	1401	6608
175	1406	6585
176	1414	6578
177	1422	6567
178	1428	6553
179	1436	6545
180	1440	6518
181	1450	6517
182	1453	6488
183	1456	6461
184	1463	6447
185	1466	6419
186	1470	6391
187	1474	6368
188	1481	6358
189	1488	6347
190	1496	6340
191	1502	6320
192	1506	6298
193	1513	6289
194	1519	6270
195	1529	6273
196	1534	6254
197	1537	6229
198	1551	6243
199	1557	6229
200	1569	6239
201	1595	6304
202	1611	6327
203	1625	6344
204	1637	6349
205	1643	6334
206	1651	6328
207	1658	6314
208	1670	6322
209	1678	6312
210	1689	6316
211	1695	6300
212	1708	6313
213	1721	6321
214	1725	6299
215	1731	6284
216	1738	6273
217	1743	6254
218	1749	6239
219	1760	6240
220	1766	6228
221	1772	6210
222	1782	6209
223	1792	6211
224	1799	6197
225	1802	6174
226	1811	6168
227	1814	6144
228	1818	6121
229	1821	6099
230	1827	6083
231	1830	6060
232	1833	6036
233	1836	6013
234	1844	6003
235	1849	5987
236	1856	5977
237	1861	5961
238	1865	5939
239	1868	5917
240	1874	5903
241	1878	5883
242	1881	5861
243	1885	5842
244	1892	5833
245	1897	5816
246	1906	5812
247	1912	5799
248	1917	5782
249	1925	5776
250	1932	5766
251	1943	5767
252	1948	5752
253	1954	5741
254	1960	5726
255	1965	5712
256	1972	5702
257	1976	5683
258	1979	5662
259	1982	5641
260	1988	5630
261	1993	5615
262	1998	5600
263	2007	5596
264	2011	5580
265	2018	5569
266	2022	5553
267	2027	5539
268	2036	5534
269	2042	5521
270	2046	5506
271	2054	5500
272	2059	5484
273	2070	5486
274	2075	5470
275	2081	5459
276	2087	5449
277	2094	5438
278	2102	5434
279	2106	5417
280	2109	5398
281	2116	5388
282	2123	5379
283	2131	5374
284	2139	5367
285	2150	5368
286	2156	5357
287	2165	5352
288	2169	5336
289	2173	5322
290	2181	5314
291	2186	5302
292	2191	5287
293	2200	5283
294	2204	5267
295	2212	5261
296	2216	5246
297	2220	5231
298	2227	5221
299	2233	5211
300	2238	5198
301	2245	5189
302	2250	5176
303	2256	5166
304	2263	5156
305	2268	5144
306	2278	5142
307	2282	5128
308	2292	5127
309	2299	5118
310	2309	5116
311	2314	5103
312	2323	5100
313	2329	5088
314	2338	5086
315	2344	5074
316	2350	5063
317	2358	5058
318	2364	5046
319	2371	5038
320	2378	5030
321	2383	5018
322	2392	5013
323	2396	5001
324	2408	5001
325	2415	4993
326	2424	4989
327	2428	4975
328	2435	4966
329	2440	4955
330	2445	4943
331	2455	4940
332	2460	4928
333	2464	4913
334	2470	4904
335	2475	4892
336	2485	4889
337	2491	4879
338	2502	4878
339	2507	4867
340	2515	4861
341	2522	4852
342	2527	4841
343	2536	4836
344	2542	4826
345	2551	4822
346	2555	4809
347	2558	4793
348	2565	4784
349	2568	4770
350	2572	4756
351	2576	4742
352	2582	4733
353	2588	4722
354	2595	4716
355	2603	4710
356	2607	4695
357	2614	4688
358	2620	4678
359	2625	4667
360	2633	4662
361	2639	4651
362	2647	4646
363	2652	4635
364	2658	4625
365	2666	4618
366	2670	4606
367	2680	4602
368	2685	4591
369	2691	4583
370	2699	4576
371	2703	4564
372	2712	4559
373	2718	4549
374	2723	4538
375	2731	4533
376	2737	4523
377	2744	4516
378	2750	4507
379	2757	4499
380	2765	4492
381	2770	4481
382	2779	4478
383	2787	4471
384	2795	4465
385	2800	4454
386	2809	4450
387	2815	4441
388	2823	4435
389	2831	4428
390	2838	4420
391	2845	4413
392	2851	4403
393	2859	4397
394	2865	4388
395	2872	4381
396	2878	4372
397	2882	4359
398	2885	4345
399	2891	4336
400	2894	4324
401	2898	4311
402	2901	4298
403	2906	4288
404	2910	4276
405	2916	4267
406	2924	4261
407	2928	4249
408	2931	4236
409	2936	4226
410	2940	4213
411	2943	4201
412	2946	4188
413	2950	4176
414	2960	4173
415	2964	4161
416	2970	4153
417	2976	4143
418	2980	4133
419	2990	4129
420	2993	4117
421	2997	4105
422	3007	4102
423	3011	4091
424	3020	4086
425	3026	4078
426	3034	4072
427	3040	4063
428	3045	4053
429	3054	4048
430	3058	4037
431	3066	4031
432	3071	4022
433	3076	4012
434	3083	4005
435	3089	3996
436	3094	3986
437	3105	3984
438	3110	3975
439	3118	3969
440	3122	3958
441	3131	3953
442	3137	3944
443	3142	3935
444	3152	3931
445	3157	3922
446	3167	3918
447	3171	3907
448	3181	3904
449	3187	3896
